,City,Country,Latitude,Longitude,Temperature,Humidity,Wind Speed,Cloudiness
453,roald,no,62.58,6.12,60.8,93,13.87,0
454,melilla,es,35.29,-2.94,66.2,68,13.87,0
455,yar-sale,ru,66.83,70.83,28.75,94,13.13,88
456,callaway,us,46.98,-95.91,87.8,57,11.41,1
457,grand gaube,mu,-20.01,57.66,71.6,83,10.0,20
458,marsassoum,sn,12.83,-15.98,84.2,54,9.17,0
459,galveston,us,40.58,-86.19,95.0,33,17.22,40
460,ha tinh,vn,18.33,105.9,82.39,100,7.54,76
461,tateyama,jp,36.66,137.31,59.17,77,2.06,92
462,warmbad,na,-28.45,18.73,41.44,74,6.98,0
463,manbij,sy,36.53,37.96,64.4,63,4.74,0
464,union city,us,36.42,-89.06,84.2,66,9.17,40
465,ixtapa,mx,20.71,-105.21,85.36,65,2.95,44
466,klaksvik,fo,62.23,-6.59,50.0,76,18.34,8
467,qaanaaq,gl,77.48,-69.36,24.52,95,4.52,32
468,hall,at,47.6,14.46,59.0,93,2.24,20
469,tuktoyaktuk,ca,69.44,-133.03,28.4,79,9.17,90
470,zyryanka,ru,65.73,150.89,46.3,72,3.62,64
471,torbay,ca,47.66,-52.73,46.4,93,21.92,90
472,xai-xai,mz,-25.04,33.64,72.49,95,10.22,0
473,paragominas,br,-3.0,-47.35,75.01,97,3.74,32
474,ushuaia,ar,-54.81,-68.31,35.6,100,23.04,40
475,oistins,bb,13.07,-59.53,86.0,66,20.8,40
476,mahebourg,mu,-20.41,57.7,71.6,83,5.64,20
477,ambajogai,in,18.73,76.39,81.22,55,10.0,24
478,luanda,ao,-8.83,13.24,73.03,98,4.97,0
479,yellowknife,ca,62.45,-114.38,51.8,37,20.8,20
480,new norfolk,au,-42.78,147.06,44.6,70,8.05,20
481,matara,lk,5.95,80.54,80.14,96,18.95,76
482,doctor cecilio baez,py,-25.05,-56.32,78.07,45,6.64,0
483,rawson,ar,-43.3,-65.11,49.99,41,6.42,12
484,jacutinga,br,-22.29,-46.61,68.0,45,6.93,20
485,bahia honda,cu,22.9,-83.16,73.21,100,4.63,92
486,hasaki,jp,35.73,140.83,66.2,93,1.12,75
487,haimen,cn,31.87,121.18,71.5,90,6.08,100
488,kloulklubed,pw,7.04,134.26,77.0,94,8.77,90
489,sorland,no,67.67,12.69,44.6,87,11.41,75
490,salalah,om,17.01,54.1,82.4,88,4.7,20
491,hami,cn,42.84,93.51,55.48,37,4.52,12
492,wanning,cn,18.8,110.4,84.01,100,6.2,8
493,puerto ayora,ec,-0.74,-90.35,80.6,65,17.22,20
494,srednekolymsk,ru,67.46,153.71,47.92,67,3.18,0
495,castro,cl,-42.48,-73.76,46.75,97,6.2,48
496,deulgaon raja,in,20.02,76.04,81.67,47,12.24,0
497,chongwe,zm,-15.33,28.68,57.37,74,4.74,0
498,salta,ar,-24.79,-65.41,77.0,47,9.17,0
499,manacapuru,br,-3.3,-60.62,84.91,71,5.19,36
500,georgetown,sh,-7.93,-14.42,79.15,100,15.48,0
501,osorno,cl,-40.57,-73.14,51.8,71,5.82,75
502,ostrovnoy,ru,68.05,39.51,33.97,100,16.26,92
503,udachnyy,ru,66.42,112.4,36.4,73,4.41,56
504,zhigansk,ru,66.77,123.37,39.64,63,4.97,24
505,cabo san lucas,mx,22.89,-109.91,95.0,37,11.41,5
506,semirom,ir,31.41,51.57,46.84,88,2.06,0
507,ahipara,nz,-35.17,173.16,46.21,100,2.84,0
